,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode
663,Metro Boomin,"No More (feat. Travis Scott, Kodak Black & 21 Savage)",1HLL8X0LH20F6Z9SLXLIjr,gibberish,0.501,0.339,82.309,0.329,0.413,0.0,0.636,11,265120,-7.26,0.196,0
664,Lil Baby,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),6PoKfDY78ih5OveWirggRX,gibberish,0.506,0.113,140.973,0.418,0.105,0.0,0.859,10,187465,-8.115,0.153,0
665,XXXTENTACION,BAD!,4CH66Rxcjcj3VBHwmIBj4T,gibberish,0.492,0.174,143.983,0.0671,0.0643,0.0313,0.78,5,94246,-3.4,0.374,0
666,Famous Dex,CELINE,6bPGoS02ALRFRroKx0OhYp,gibberish,0.587,0.0848,150.039,0.0602,0.0617,0.0,0.696,1,115193,-7.826,0.537,0
667,Lil Baby,Underdog (Lil Baby & Gunna),2Am26UXisQ91vBLYdqd7Pa,gibberish,0.735,0.134,144.985,0.16,0.0427,0.0,0.791,5,211853,-4.764,0.497,0
668,Lil Baby,My Jeans (Lil Baby & Gunna feat. Young Thug),4T7cJdrTRqOBESPYfvfj2x,gibberish,0.715,0.531,100.576,0.186,0.119,0.0,0.435,11,196448,-5.869,0.382,1
669,Young Thug,U Ain't Slime Enough (feat. Karlae & Duke),34tMZsMP16tF90ajknBxyb,gibberish,0.507,0.112,152.957,0.26,0.0348,0.0,0.715,5,254080,-10.613,0.409,0
670,Young Thug,January 1st (feat. Jacquees & Trap Boy Freddy),21FpDaSM6pSxpnJOhsxDCJ,gibberish,0.436,0.109,161.907,0.44,0.000523,0.0,0.679,7,258587,-10.233,0.295,0
671,Shy Glizzy,Dope Boy Magic (feat. Trey Songz and A Boogie wit da Hoodie),0n4gj5hoGGQI6NUNQqqzwq,gibberish,0.564,0.105,136.03,0.0465,0.0206,0.0,0.683,8,239107,-3.533,0.461,1
672,Shy Glizzy,Money Set (feat. Young Thug),6rWXZaMeibpzkHySnXPrZZ,gibberish,0.719,0.094,135.042,0.129,0.0901,0.0,0.862,6,189536,-3.755,0.541,0
673,Shy Glizzy,Do You Understand? (feat. Gunna & Tory Lanez),40UeYwkXU1t4EZtD8O3zko,gibberish,0.526,0.0983,129.987,0.126,0.0496,0.0,0.862,4,279186,-5.168,0.198,0
674,Shy Glizzy,Problems (feat. Quando Rondo & Lil Durk),5jCRRHKQQFPBqM1hFta6Gp,gibberish,0.75,0.109,147.126,0.0689,0.0469,0.0,0.791,8,184505,-3.978,0.729,1
675,Smooky MarGielaa,Mozart,4F2A5lJVJiA7jI5Y6zDhg6,gibberish,0.413,0.119,136.086,0.134,0.256,0.0,0.653,11,113150,-13.496,0.115,0
676,Smooky MarGielaa,"Stay ""100""",1hJjKYqtVt47RmRR0Q1vDA,gibberish,0.482,0.193,130.037,0.0917,0.0565,0.0,0.838,5,192052,-9.25,0.67,0
677,Smooky MarGielaa,Hood,7ICCLgIXEVbfOKDeuqWxiD,gibberish,0.647,0.106,120.049,0.0504,0.497,0.0,0.821,10,208065,-5.689,0.517,0
678,Famous Dex,LIGHT (feat. Drax Project),29Kwwlc2SMq1XXqdf2KRfw,gibberish,0.62,0.158,150.022,0.0701,0.151,0.0,0.692,1,198000,-7.837,0.596,0
679,Trippie Redd,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,gibberish,0.615,0.109,105.955,0.0454,0.00587,1.75e-06,0.755,4,215364,-8.245,0.039,1
680,Trippie Redd,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,gibberish,0.538,0.192,81.031,0.052,0.68,0.0,0.767,0,121680,-6.044,0.343,0
681,Trippie Redd,Love Scars 3,0AcicReEGm1qcENjqzh1Tg,gibberish,0.524,0.106,81.982,0.0621,0.136,0.0,0.544,8,129429,-7.914,0.117,1
682,Trippie Redd,Toxic Waste,1SxagO9GK0UUeEYLmH8Pln,gibberish,0.517,0.107,111.974,0.0629,0.0555,1.95e-06,0.728,8,173129,-11.404,0.379,1
683,Trippie Redd,Together,6m3LlhdZ0HWn4D7Nnm06MQ,gibberish,0.444,0.127,120.098,0.0282,0.893,8.06e-06,0.615,8,164577,-6.773,0.125,0
684,Diplo,Wish - Trippie Mix,6IpvkngH89cA3hhPC84Leg,gibberish,0.832,0.107,93.991,0.0717,0.232,0.0,0.561,9,176874,-7.661,0.666,1
685,Trippie Redd,Hellboy,61ewCnrCtMcEeO0QnLfa3Y,gibberish,0.655,0.256,139.186,0.184,0.568,0.0,0.582,9,188277,-4.355,0.467,0
686,Trippie Redd,Love Scars Pt. 2 / Rack City,5SCiKTGKH0fIgqQzpBvL69,gibberish,0.588,0.0868,80.928,0.137,0.0653,0.0,0.665,5,155368,-7.953,0.157,0
687,Trippie Redd,Romeo & Juliet,6jT3etAOkvMUw0zsEw5QnR,gibberish,0.37,0.328,119.806,0.0712,0.664,0.086,0.609,0,208000,-13.933,0.352,1
688,Trippie Redd,I Tried Loving,7uenITonAmg7wXmFd3kkms,gibberish,0.686,0.19,160.076,0.0436,0.181,0.0,0.624,1,193510,-4.809,0.223,0
689,Trippie Redd,Love Scars,0AICBlLzFCTpUqmAbtzB2z,gibberish,0.614,0.123,119.405,0.0541,0.000404,0.0,0.659,9,143969,-7.32,0.26,0
690,Trippie Redd,Negative Energy,0ZPCxNK4DIrF8KqrN3DxfA,gibberish,0.672,0.125,139.868,0.264,0.413,0.0,0.659,9,178286,-7.442,0.452,1
