,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode,Clusters
1258,Camila Cabello,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,singed,0.713,0.13699999999999998,129.923,0.0747,0.18100000000000002,0.000637,0.637,0,226973,-4.333,0.243,1,1
1259,Camila Cabello,Crying in the Club,1SJtlNRJDeYHioymcvsqev,singed,0.617,0.163,85.227,0.38299999999999995,0.33399999999999996,0.0,0.33399999999999996,6,216391,-5.834,0.603,0,0
1260,Future,Real and True,5TxsupFF2Vc70TQdLyyOE3,singed,0.45799999999999996,0.295,140.287,0.0663,0.265,1.25e-05,0.5820000000000001,1,247893,-4.817,0.16899999999999998,1,1
1261,Leon Else,Cheap Hotel,7Jp0SC1X5eAu0rOw56x53M,singed,0.495,0.11599999999999999,126.081,0.0395,0.589,0.0,0.6629999999999999,5,222746,-8.187999999999999,0.0677,1,2
1262,blackbear,DEAD TO ME,75e5IAhy49eoYHncQNVsh8,singed,0.713,0.139,139.966,0.0936,0.0757,0.0,0.7090000000000001,7,180576,-5.4639999999999995,0.22699999999999998,0,1
1263,Leon Else,Change Up,6tl2SCLIAUGeEUGc7dle8C,singed,0.355,0.11199999999999999,183.94,0.32799999999999996,0.546,2.6e-06,0.804,11,211487,-10.293,0.49200000000000005,1,2
1264,iKON,LOVE SCENARIO,6qAzAmPBUpGrk7XADZHR5k,singed,0.7070000000000001,0.294,118.01100000000001,0.0307,0.331,0.0,0.8059999999999999,7,209648,-4.623,0.746,1,0
1265,Lewis Capaldi,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,singed,0.405,0.105,109.891,0.0319,0.7509999999999999,0.0,0.501,1,182161,-5.678999999999999,0.446,1,2
1266,Pink Sweat$,Honesty,5dXI2NV7X2c4anyLFbQdEX,singed,0.204,0.106,79.82600000000001,0.0331,0.919,0.0,0.616,6,191000,-11.421,0.419,0,2
1267,blackbear,PINK ROLEX,62IynV9OBmcZZuvxlh4CSB,singed,0.609,0.452,136.151,0.45399999999999996,0.255,0.0,0.655,0,136765,-9.169,0.677,1,0
1268,blackbear,DRUG DEALER,3x9UziOg2qd8SJ8eKYwzii,singed,0.474,0.131,78.975,0.115,0.00968,0.0,0.609,1,166219,-8.628,0.17300000000000001,0,1
1269,blackbear,DOWN,2qCsMHBhz2qtQZ7m10DlO9,singed,0.662,0.084,148.026,0.107,0.107,0.00042699999999999997,0.76,3,139566,-5.4510000000000005,0.846,0,0
1270,blackbear,ITS ALL GONNA BURN,0KQvM8WPf3k2U2vvvSDJJt,singed,0.48100000000000004,0.131,96.954,0.0286,0.39799999999999996,0.00072,0.7070000000000001,7,192371,-6.836,0.209,1,2
1271,blackbear,NYLA,5ovclwxhDdIU5UfVioEhCx,singed,0.195,0.473,119.819,0.0345,0.449,0.0,0.5670000000000001,9,252097,-11.585999999999999,0.193,1,2
1272,Bazzi,Paradise,7njKgVl3AnLflRad38o7AG,singed,0.644,0.113,122.061,0.0479,0.0828,0.0,0.8440000000000001,11,169038,-6.273,0.591,0,0
1273,blackbear,N Y L A,5zViOYAEOrfNn8wd0sN4MH,singed,0.336,0.354,65.83800000000001,0.0392,0.818,0.0,0.268,9,300130,-10.011000000000001,0.20800000000000002,1,2
1274,Lil Yachty,Better,49EgauTc1cGkHwPGCaHh1f,singed,0.54,0.275,134.921,0.11900000000000001,0.28600000000000003,0.0,0.747,9,242431,-7.303,0.556,1,0
1275,Lil Yachty,Forever Young,4CwumbYOUtgSylJnSrZ7oY,singed,0.615,0.16899999999999998,137.93200000000002,0.0387,0.5479999999999999,5.06e-06,0.685,6,177720,-7.983,0.7170000000000001,1,2
1276,Lorde,Liability,4iSN72L6xCM7vQZR2I9Suz,singed,0.22899999999999998,0.1,75.67,0.128,0.92,0.0,0.5870000000000001,10,171728,-11.254000000000001,0.379,0,2
1277,GOLDN,happysad,2E70P03j3u2R8Wq3ri5cKL,singed,0.401,0.256,83.509,0.0612,0.0352,0.00234,0.73,8,174038,-7.062,0.488,1,1
1278,blackbear,DEAD BALLOONS,6FOQFG9G8KrE6vM4PxbGwF,singed,0.46299999999999997,0.315,156.60299999999998,0.0736,0.11699999999999999,0.0,0.5379999999999999,1,130167,-8.75,0.423,0,1
1279,GOLDN,used to,29c5U8gKc38Ck9j10g4A8K,singed,0.723,0.61,139.95,0.0514,0.39399999999999996,0.0,0.622,7,181090,-5.221,0.446,0,0
